Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_221,VPWR,li1,107.6400,100.6400,1.800000
FILLER_33_209,VPWR,li1,104.4200,100.6400,1.800000
FILLER_33_197,VPWR,li1,98.9000,100.6400,1.800000
FILLER_33_195,VPWR,li1,95.4500,100.6400,1.800000
FILLER_33_193,VPWR,li1,94.7600,100.6400,1.800000
FILLER_33_181,VPWR,li1,91.5400,100.6400,1.800000
FILLER_33_169,VPWR,li1,86.0200,100.6400,1.800000
FILLER_33_167,VPWR,li1,82.5700,100.6400,1.800000
FILLER_33_165,VPWR,li1,81.8800,100.6400,1.800000
FILLER_33_153,VPWR,li1,78.6600,100.6400,1.800000
FILLER_33_141,VPWR,li1,73.1400,100.6400,1.800000
FILLER_33_139,VPWR,li1,69.6900,100.6400,1.800000
FILLER_33_137,VPWR,li1,69.0000,100.6400,1.800000
FILLER_33_125,VPWR,li1,65.7800,100.6400,1.800000
FILLER_33_113,VPWR,li1,60.2600,100.6400,1.800000
FILLER_33_111,VPWR,li1,56.8100,100.6400,1.800000
FILLER_33_109,VPWR,li1,56.1200,100.6400,1.800000
FILLER_33_97,VPWR,li1,52.9000,100.6400,1.800000
FILLER_33_85,VPWR,li1,47.3800,100.6400,1.800000
FILLER_33_83,VPWR,li1,43.9300,100.6400,1.800000
FILLER_33_81,VPWR,li1,43.2400,100.6400,1.800000
FILLER_33_69,VPWR,li1,40.0200,100.6400,1.800000
FILLER_33_57,VPWR,li1,34.5000,100.6400,1.800000
FILLER_33_55,VPWR,li1,31.0500,100.6400,1.800000
FILLER_33_53,VPWR,li1,30.3600,100.6400,1.800000
FILLER_33_41,VPWR,li1,27.1400,100.6400,1.800000
FILLER_33_29,VPWR,li1,21.6200,100.6400,1.800000
FILLER_33_27,VPWR,li1,18.1700,100.6400,1.800000
FILLER_33_15,VPWR,li1,15.1800,100.6400,1.800000
FILLER_33_3,VPWR,li1,9.6600,100.6400,1.800000
FILLER_32_221,VPWR,li1,107.6400,100.6400,1.800000
FILLER_32_209,VPWR,li1,104.4200,100.6400,1.800000
FILLER_32_197,VPWR,li1,98.9000,100.6400,1.800000
FILLER_32_195,VPWR,li1,95.4500,100.6400,1.800000
FILLER_32_193,VPWR,li1,94.7600,100.6400,1.800000
FILLER_32_189,VPWR,li1,93.3800,100.6400,1.800000
FILLER_32_177,VPWR,li1,89.7000,100.6400,1.800000
FILLER_32_165,VPWR,li1,84.1800,100.6400,1.800000
FILLER_32_153,VPWR,li1,78.6600,100.6400,1.800000
FILLER_32_141,VPWR,li1,73.1400,100.6400,1.800000
FILLER_32_139,VPWR,li1,69.6900,100.6400,1.800000
FILLER_32_137,VPWR,li1,69.0000,100.6400,1.800000
FILLER_32_133,VPWR,li1,67.6200,100.6400,1.800000
FILLER_32_121,VPWR,li1,63.9400,100.6400,1.800000
FILLER_32_109,VPWR,li1,58.4200,100.6400,1.800000
FILLER_32_97,VPWR,li1,52.9000,100.6400,1.800000
FILLER_32_85,VPWR,li1,47.3800,100.6400,1.800000
FILLER_32_83,VPWR,li1,43.9300,100.6400,1.800000
FILLER_32_81,VPWR,li1,43.2400,100.6400,1.800000
FILLER_32_77,VPWR,li1,41.8600,100.6400,1.800000
FILLER_32_65,VPWR,li1,38.1800,100.6400,1.800000
FILLER_32_53,VPWR,li1,32.6600,100.6400,1.800000
FILLER_32_41,VPWR,li1,27.1400,100.6400,1.800000
FILLER_32_29,VPWR,li1,21.6200,100.6400,1.800000
FILLER_32_27,VPWR,li1,18.1700,100.6400,1.800000
FILLER_32_15,VPWR,li1,15.1800,100.6400,1.800000
FILLER_32_3,VPWR,li1,9.6600,100.6400,1.800000
FILLER_31_221,VPWR,li1,107.6400,95.2000,1.800000
FILLER_31_217,VPWR,li1,106.2600,95.2000,1.800000
FILLER_31_205,VPWR,li1,102.5800,95.2000,1.800000
FILLER_31_193,VPWR,li1,97.0600,95.2000,1.800000
FILLER_31_181,VPWR,li1,91.5400,95.2000,1.800000
FILLER_31_169,VPWR,li1,86.0200,95.2000,1.800000
FILLER_31_167,VPWR,li1,82.5700,95.2000,1.800000
FILLER_31_165,VPWR,li1,81.8800,95.2000,1.800000
FILLER_31_161,VPWR,li1,80.5000,95.2000,1.800000
FILLER_31_149,VPWR,li1,76.8200,95.2000,1.800000
FILLER_31_137,VPWR,li1,71.3000,95.2000,1.800000
FILLER_31_125,VPWR,li1,65.7800,95.2000,1.800000
FILLER_31_113,VPWR,li1,60.2600,95.2000,1.800000
FILLER_31_111,VPWR,li1,56.8100,95.2000,1.800000
FILLER_31_109,VPWR,li1,56.1200,95.2000,1.800000
FILLER_31_105,VPWR,li1,54.7400,95.2000,1.800000
FILLER_31_93,VPWR,li1,51.0600,95.2000,1.800000
FILLER_31_81,VPWR,li1,45.5400,95.2000,1.800000
FILLER_31_69,VPWR,li1,40.0200,95.2000,1.800000
FILLER_31_57,VPWR,li1,34.5000,95.2000,1.800000
FILLER_31_55,VPWR,li1,31.0500,95.2000,1.800000
FILLER_31_51,VPWR,li1,29.9000,95.2000,1.800000
FILLER_31_39,VPWR,li1,26.2200,95.2000,1.800000
FILLER_31_27,VPWR,li1,20.7000,95.2000,1.800000
FILLER_31_15,VPWR,li1,15.1800,95.2000,1.800000
FILLER_31_3,VPWR,li1,9.6600,95.2000,1.800000
FILLER_30_221,VPWR,li1,107.6400,95.2000,1.800000
FILLER_30_209,VPWR,li1,104.4200,95.2000,1.800000
FILLER_30_197,VPWR,li1,98.9000,95.2000,1.800000
FILLER_30_195,VPWR,li1,95.4500,95.2000,1.800000
FILLER_30_193,VPWR,li1,94.7600,95.2000,1.800000
FILLER_30_189,VPWR,li1,93.3800,95.2000,1.800000
FILLER_30_177,VPWR,li1,89.7000,95.2000,1.800000
FILLER_30_165,VPWR,li1,84.1800,95.2000,1.800000
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.800000
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.800000
FILLER_30_139,VPWR,li1,69.6900,95.2000,1.800000
FILLER_30_137,VPWR,li1,69.0000,95.2000,1.800000
FILLER_30_133,VPWR,li1,67.6200,95.2000,1.800000
FILLER_30_121,VPWR,li1,63.9400,95.2000,1.800000
FILLER_30_109,VPWR,li1,58.4200,95.2000,1.800000
FILLER_30_97,VPWR,li1,52.9000,95.2000,1.800000
FILLER_30_85,VPWR,li1,47.3800,95.2000,1.800000
FILLER_30_83,VPWR,li1,43.9300,95.2000,1.800000
FILLER_30_81,VPWR,li1,43.2400,95.2000,1.800000
FILLER_30_77,VPWR,li1,41.8600,95.2000,1.800000
FILLER_30_65,VPWR,li1,38.1800,95.2000,1.800000
FILLER_30_53,VPWR,li1,32.6600,95.2000,1.800000
FILLER_30_41,VPWR,li1,27.1400,95.2000,1.800000
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.800000
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.800000
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.800000
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.800000
FILLER_29_221,VPWR,li1,107.6400,89.7600,1.800000
FILLER_29_217,VPWR,li1,106.2600,89.7600,1.800000
FILLER_29_205,VPWR,li1,102.5800,89.7600,1.800000
FILLER_29_193,VPWR,li1,97.0600,89.7600,1.800000
FILLER_29_181,VPWR,li1,91.5400,89.7600,1.800000
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.800000
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.800000
FILLER_29_165,VPWR,li1,81.8800,89.7600,1.800000
FILLER_29_161,VPWR,li1,80.5000,89.7600,1.800000
FILLER_29_149,VPWR,li1,76.8200,89.7600,1.800000
FILLER_29_137,VPWR,li1,71.3000,89.7600,1.800000
FILLER_29_125,VPWR,li1,65.7800,89.7600,1.800000
FILLER_29_113,VPWR,li1,60.2600,89.7600,1.800000
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.800000
FILLER_29_109,VPWR,li1,56.1200,89.7600,1.800000
FILLER_29_105,VPWR,li1,54.7400,89.7600,1.800000
FILLER_29_93,VPWR,li1,51.0600,89.7600,1.800000
FILLER_29_81,VPWR,li1,45.5400,89.7600,1.800000
FILLER_29_69,VPWR,li1,40.0200,89.7600,1.800000
FILLER_29_57,VPWR,li1,34.5000,89.7600,1.800000
FILLER_29_55,VPWR,li1,31.0500,89.7600,1.800000
FILLER_29_51,VPWR,li1,29.9000,89.7600,1.800000
FILLER_29_39,VPWR,li1,26.2200,89.7600,1.800000
FILLER_29_27,VPWR,li1,20.7000,89.7600,1.800000
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.800000
