net,length_um
clknet_0_clk_i,162.16µm
num_i_bar\[0\],160.62µm
net18,143.5µm
net13,124.48µm
net17,118.66µm
net27,114.78µm
net25,114.21µm
net24,109.8µm
net14,106.13µm
net16,105.4µm
net8,105.24µm
net20,101.1µm
clk_i,100.57µm
net10,98µm
net11,97.84µm
net22,94.94µm
net7,93.22µm
net26,86.15µm
net9,84.12µm
_136_,77.68µm
net15,72.885µm
clknet_3_3__leaf_clk_i,71.66µm
clknet_3_0__leaf_clk_i,70.74µm
clknet_3_5__leaf_clk_i,68.68µm
clknet_3_2__leaf_clk_i,68.22µm
net19,67.22µm
clknet_3_7__leaf_clk_i,66.82µm
net12,64.08µm
clknet_3_6__leaf_clk_i,62.52µm
net21,59.96µm
net23,58.96µm
clknet_3_1__leaf_clk_i,57.9µm
_060_,52.56µm
clknet_3_4__leaf_clk_i,52.26µm
rng_rd.mem\[10\]\[2\],44.04µm
rng_rd.mem\[10\]\[0\],43.22µm
rng_rd.vld\[9\],42.84µm
rng_dp.inst.next_num_o\[2\],42.7µm
rng_dp.inst.next_num_o\[1\],40.7µm
rng_rd.mem\[8\]\[1\],40.34µm
rng_rd.mem\[3\]\[0\],38.36µm
_084_,38.24µm
_108_,37.7µm
rng_dp.inst.next_num_o\[0\],36.92µm
rng_rd.mem\[4\]\[1\],35.42µm
_099_,35.14µm
rng_rd.mem\[9\]\[1\],33.14µm
rng_rd.mem\[7\]\[2\],33.04µm
rng_rd.vld\[7\],32.68µm
_137_,31.54µm
rng_dp.seed_sel_i\[1\],31.48µm
net80,31.26µm
rng_rd.mem\[7\]\[1\],30.52µm
num_i_bar\[1\],29.9µm
rng_rd.mem\[6\]\[0\],29.66µm
_128_,29.54µm
net41,28.5µm
_065_,28.26µm
rng_rd.mem\[7\]\[0\],27.68µm
net5,27.49µm
rng_rd.vld\[5\],27.04µm
rng_rd.vld\[1\],26.78µm
rng_rd.mem\[2\]\[2\],26.7µm
rng_rd.mem\[9\]\[0\],26.31µm
rng_rd.vld\[2\],25.84µm
net62,25.84µm
rng_rd.mem\[11\]\[2\],25.18µm
rng_rd.mem\[5\]\[2\],24.86µm
rng_rd.mem\[1\]\[0\],24.66µm
rng_rd.mem\[6\]\[1\],24.16µm
rng_rd.vld\[10\],24.16µm
net86,24.14µm
net84,24.08µm
_140_,23.88µm
_112_,23.32µm
rng_rd.mem\[5\]\[0\],22.92µm
rng_dp.seed_sel_i\[0\],22.7µm
_156_,22.5µm
_117_,22.38µm
_138_,22.02µm
rng_rd.mem\[2\]\[1\],21.92µm
rng_rd.vld\[4\],21.8µm
_057_,21.6µm
net4,21.3µm
_135_,21.2µm
rng_rd.mem\[4\]\[0\],21.2µm
net56,21.2µm
rng_rd.mem\[5\]\[1\],20.62µm
rng_rd.vld\[0\],20.58µm
_142_,20.32µm
_094_,20.24µm
_063_,19.92µm
_059_,19.88µm
rng_rd.mem\[8\]\[0\],19.88µm
net68,19.68µm
net77,19.32µm
net63,18.6µm
rng_rd.mem\[10\]\[1\],18.48µm
_107_,18.18µm
_145_,17.88µm
_121_,17.86µm
_123_,17.82µm
net6,17.6µm
rng_rd.mem\[2\]\[0\],17.5µm
rng_rd.vld\[6\],17.28µm
net36,16.98µm
rng_rd.mem\[11\]\[1\],16.86µm
_106_,16.82µm
net49,16.74µm
_089_,16.66µm
rng_rd.mem\[1\]\[2\],16.6µm
_001_,16.36µm
_096_,16.06µm
net40,15.58µm
_012_,15.52µm
net71,15.46µm
_132_,15.22µm
_124_,14.86µm
rng_rd.mem\[3\]\[2\],14.76µm
net52,13.96µm
rng_rd.vld\[3\],13.8µm
net45,13.8µm
net75,13.76µm
_095_,13.72µm
net89,13.7µm
_147_,13.68µm
net54,13.58µm
net64,13.38µm
_105_,13.3µm
_148_,13.06µm
net32,12.28µm
net57,12.14µm
_052_,12.12µm
rng_rd.vld\[8\],12.04µm
rng_rd.mem\[11\]\[0\],11.735µm
rng_rd.mem\[8\]\[2\],11.42µm
_000_,11.345µm
_054_,10.9µm
_072_,10.88µm
rng_rd.mem\[9\]\[2\],10.74µm
_141_,10.72µm
net66,10.64µm
_101_,10.46µm
net2,10.4µm
net43,10.28µm
net82,10.28µm
_061_,10.05µm
rng_rd.mem\[4\]\[2\],10.04µm
rng_rd.mem\[6\]\[2\],9.96µm
_066_,9.92µm
_053_,9.76µm
_133_,9.74µm
req_num_i,9.64µm
_130_,9.38µm
rng_rd.vld\[11\],9.24µm
net59,9.24µm
net60,9.1µm
_011_,9.04µm
net78,9.02µm
net53,8.98µm
_067_,8.82µm
_154_,8.76µm
_100_,8.62µm
_113_,8.58µm
_134_,8.58µm
net34,8.48µm
_068_,8.44µm
_102_,8.37µm
_064_,8.24µm
_116_,8.2µm
_041_,8.14µm
_016_,8.1µm
_155_,7.94µm
net85,7.83µm
_024_,7.7µm
_071_,7.68µm
_070_,7.58µm
net69,7.56µm
rng_rd.mem\[3\]\[1\],7.4µm
wr_i,7.23µm
_014_,7.22µm
_015_,7.18µm
_021_,7.18µm
_103_,7.18µm
net46,7.18µm
_083_,7.16µm
_139_,6.9µm
_153_,6.82µm
_002_,6.74µm
_032_,6.72µm
_042_,6.72µm
_129_,6.655µm
_111_,6.64µm
net47,6.5µm
rng_rd.wr_pulse,6.44µm
net87,6.41µm
net39,6.38µm
net96,6.32µm
_004_,6.3µm
_019_,6.26µm
_050_,6.26µm
_144_,6.2µm
_165_,6.18µm
net50,6.04µm
net33,6.02µm
_045_,5.96µm
_028_,5.92µm
net58,5.84µm
_003_,5.82µm
_005_,5.8µm
_085_,5.78µm
_008_,5.72µm
_093_,5.68µm
net92,5.52µm
_051_,5.4µm
_058_,5.4µm
_092_,5.38µm
_150_,5.38µm
_149_,5.36µm
_017_,5.26µm
_114_,5.14µm
net94,5.12µm
num_to_send_o[0],5.07µm
num_to_send_o[1],5.07µm
num_to_send_o[2],5.07µm
net91,5.06µm
_126_,5.04µm
_159_,5.02µm
_081_,4.88µm
rng_rd.mem\[1\]\[1\],4.88µm
net70,4.88µm
net29,4.8µm
