net,length_um
_025_,4.765µm
_036_,4.68µm
_038_,4.58µm
_027_,4.46µm
_029_,4.46µm
_062_,4.42µm
_098_,4.34µm
rst_i,4.27µm
_161_,4.2µm
net72,4.15µm
_073_,4.12µm
_127_,4.1µm
_164_,4.1µm
_048_,4.08µm
_078_,4.08µm
_006_,4µm
_040_,4µm
rng_rd.wr_ff1,4µm
_047_,3.9µm
_104_,3.88µm
net61,3.705µm
net73,3.68µm
net90,3.68µm
_035_,3.66µm
_037_,3.66µm
net76,3.66µm
net79,3.64µm
_022_,3.56µm
_044_,3.56µm
_046_,3.54µm
_074_,3.54µm
_160_,3.54µm
_056_,3.42µm
net88,3.32µm
net95,3.32µm
_007_,3.2µm
_033_,3.2µm
net37,3.2µm
_125_,3.1µm
_069_,3.08µm
rng_rd.wr_ff2_d,3.08µm
net67,3.08µm
net74,3.08µm
_080_,2.96µm
net35,2.96µm
_077_,2.92µm
net42,2.84µm
_163_,2.775µm
rng_rd.wr_ff2,2.76µm
net38,2.76µm
_030_,2.74µm
_013_,2.64µm
_034_,2.64µm
_146_,2.64µm
_023_,2.62µm
_115_,2.62µm
_119_,2.62µm
net65,2.62µm
_086_,2.5µm
_088_,2.5µm
_152_,2.5µm
net1,2.5µm
_087_,2.3µm
_151_,2.3µm
net44,2.3µm
net81,2.3µm
_018_,2.28µm
_020_,2.28µm
_143_,2.28µm
net28,2.28µm
_031_,2.16µm
_043_,2.16µm
_049_,2.16µm
_075_,2.16µm
_131_,2.16µm
net93,2.16µm
_090_,2.06µm
_120_,2.06µm
_157_,2.005µm
_010_,1.845µm
_109_,1.84µm
net48,1.84µm
net55,1.84µm
req_num_again,1.82µm
_091_,1.72µm
_118_,1.72µm
_076_,1.7µm
_122_,1.7µm
net3,1.545µm
_082_,1.38µm
_162_,1.38µm
net30,1.38µm
net31,1.38µm
_110_,1.36µm
net83,1.36µm
num_i_bar\[2\],1.26µm
_097_,1.02µm
net51,1.02µm
_079_,0.92µm
_009_,0.8µm
_026_,0.8µm
_039_,0.8µm
_055_,0.8µm
_158_,0.46µm
